,City,Company,Title,Location,Salary,Clean_Salary
32,Los+Angeles,NaN,Computer Scientist,"Los Angeles, CA","$108,281-$153,510ayear",130895.5
93,Los+Angeles,FluidManufacturing,Cannabis Lead Formulation Chemist (Flavoring Expert),"Pacific Palisades, CA 90272","$60,000-$125,000ayear",92500.0
105,Los+Angeles,Harnham,"Data Scientist, Marketing - Ecommerce","Los Angeles, CA","$120,000ayear",120000.0
122,Los+Angeles,Harnham,Senior Data Scientist,"Los Angeles, CA","$150,000ayear",150000.0
155,Los+Angeles,NaN,MIS Director,"Los Angeles, CA","$124,239-$207,057ayear",165648.0
421,Los+Angeles,Harnham,"Director, Digital Media Analytics","Los Angeles, CA","$160,000ayear",160000.0
542,Denver,NaN,Professional Research Assistant,"Aurora, CO","$45,000-$75,000ayear",60000.0
566,Denver,NaN,Operations Research Analyst,"Buckley AFB, CO","$72,168-$155,073ayear",113620.5
1126,San+Francisco,NaN,Data Scientist,"San Francisco, CA","$130,000-$190,000ayear",160000.0
1134,San+Francisco,Harnham,Marketing Data Scientist,"San Francisco, CA","$150,000ayear",150000.0
1161,San+Francisco,Harnham,Marketing Data Scientist - Contract to Hire,"Oakland, CA","$120,000ayear",120000.0
1167,San+Francisco,BlueOwl,Senior Data Engineer,"San Francisco, CA","$200,000-$300,000ayear",250000.0
1179,San+Francisco,Harnham,Data Scientist Lead - Remote Opportunity,"San Francisco, CA","$120,000ayear",120000.0
1189,San+Francisco,Harnham,Data Scientist - Global Retailer,"Oakland, CA","$120,000ayear",120000.0
1221,San+Francisco,NaN,Lead Data Scientist,"San Francisco, CA","$170,000-$220,000ayear",195000.0
1234,San+Francisco,NaN,"Principal, Data Scientist","San Francisco, CA","$180,000-$220,000ayear",200000.0
1262,San+Francisco,Harnham,Data Scientist - Marketing Analytics,"San Francisco, CA","$150,000ayear",150000.0
1293,San+Francisco,Harnham,Senior Deep Learning Data Scientist,"San Francisco, CA","$180,000ayear",180000.0
1307,San+Francisco,NaN,Senior Data Scientist,"San Francisco, CA","$150,000-$190,000ayear",170000.0
